name,angle_deg,radius_m,completed,steps,termination,grade_cte_only_deprecated,grade_loop_quality,CTE_mean,CTE_p50,CTE_p90,CTE_max,velocity_tangent_error_mean,velocity_tangent_error_p90,nose_tangent_error_mean,nose_tangent_error_p90,nose_velocity_error_mean,nose_velocity_error_p90,wing_plane_error_mean,wing_plane_error_p90,belly_error_mean,q_error_mean_rad,q_error_p90_rad,roll_tracking_error_mean,env_alpha_min,env_alpha_max,env_alpha_mean,env_beta_min,env_beta_max,target_roll_min,target_roll_max,actual_roll_min,actual_roll_max,actual_roll_mean,vt_min,vt_mean,Gmax,Gmean,alt_min,alt_max
pu060_R8000,60,8000,True,173,ok,A,B,80.43920193886521,69.24775146653066,169.7208794775404,193.6332853242595,6.444575212267751,14.838144526910165,8.78241912981119,18.982934318988754,5.75158389633554,13.037488978557066,34.40077940958425,126.48003100922708,145.0398728407217,0.08450667410972684,0.21784600551245814,3.9483212450604013,-22.839903282617932,7.7221794322178585,-0.5415026778289936,-3.3024026535601005,15.981011950165497,-168.15259711165046,161.18729335804258,-178.8857416081388,170.74925143860443,-18.06190657948699,193.96258544921875,241.58076591712202,5.841485667919617,2.148236944990064,4946.875,8838.9326171875
pu060_R10000,60,10000,True,212,ok,A,B,68.71240586411002,47.466116650671836,171.15365262313446,201.97515401115513,4.833572501419997,13.792193957733398,6.904023004337647,18.057556935562605,4.707414530060192,8.525605343712744,27.827335156859004,114.85045977065151,151.70326363907728,0.0697657162784324,0.20597861931452252,3.362405829941529,-22.839903282617932,6.989427346548782,-0.15965291545895383,-3.066900505742411,15.981011950165497,-168.15259711165046,161.18729335804258,-178.8857416081388,170.74925143860443,-14.504464055765293,193.8887939453125,243.39300781825804,5.841485667919617,1.9081573127840883,4946.875,9757.3271484375
pu090_R10000,90,10000,True,314,ok,A,B,53.928144019118086,29.51115942516462,146.31231855383245,207.28522032975187,3.498886749863305,9.244270250310153,5.7921712030782295,13.700532484583162,4.1102902656571025,5.915268842139577,20.033027128624834,80.89593130188057,158.95132149921625,0.06606594153072441,0.19499922325437302,3.968903798203847,-22.839903282617932,5.731724850519097,0.7929187196854853,-3.013811366314606,15.981011950165497,-168.15259711165046,161.18729335804258,-178.8857416081388,170.74925143860443,-10.932030631710601,193.8887939453125,246.1690400239009,5.841485667919617,1.718060834143033,4946.875,14629.0966796875
pu090_R12000,90,12000,True,377,ok,A,B,56.296313514261804,30.401120114962087,152.54529777633712,238.33438284979297,3.1419408910917066,10.120164273845022,5.535189326281768,13.06778660012432,4.019538117635098,5.425602250540851,17.428754830600887,66.21675390257373,161.60812231152386,0.06690498484550231,0.19995921505232128,5.881048754408834,-22.839903282617932,4.518525305800275,1.1284855935680695,-3.493714758108277,15.981011950165497,-168.15259711165046,161.18729335804258,-178.8857416081388,170.74925143860443,-11.549156966599675,193.8887939453125,246.75793873915939,5.841485667919617,1.602505151987195,4946.875,16624.115234375
pu105_R10000,105,10000,True,366,ok,A,B,53.820864456794354,30.542653978576098,132.78481148430143,207.16115420665952,3.4626657537059806,8.784952378627917,5.700713496181099,12.712013677432058,4.335685558375089,6.315629284443243,21.562700889154854,86.27358197184377,157.24338206526767,0.1198589068209994,0.23141030686694092,8.533156455217725,-22.839903282617932,8.57702883326373,1.1654251483165063,-5.4839016817689386,15.981011950165497,-168.15259711165046,180.0,-179.213454084516,179.69311094916932,3.320010956711921,193.8887939453125,247.3510864341194,5.841485667919617,1.6771006539981217,4946.875,17255.09765625
pu105_R12000,105,12000,True,439,ok,A,B,62.71639568703865,31.529191890453696,138.3272236583238,238.43574544667482,3.3496025888185574,9.478729371620672,5.7567737819438465,12.25064859746469,4.557530734913438,8.716583055767112,20.327639624228578,80.01626991999034,158.5285409594923,0.1117855368372214,0.23036487006506612,6.842204771028327,-22.839903282617932,11.257283002262296,1.7446841350675326,-6.068450188392963,15.981011950165497,-168.15259711165046,180.0,-179.99055202714504,179.49793146344703,-19.372767950176126,193.8887939453125,248.5498491083028,5.841485667919617,1.5881174191805363,4946.875,19810.513671875
pu120_R10000,120,10000,True,418,ok,A,B,53.297808984784,30.566549172086148,122.47752013501375,207.19041304827923,3.4288655528827947,8.401858696500675,5.646135815416575,11.196508380057256,4.094823320840398,6.847964595348256,18.933761238263312,78.52962919287778,159.57442093961504,0.10762621543482026,0.22395897019477937,7.42731605338787,-22.839903282617932,11.031386448295173,1.3032469145315768,-4.733737309471384,15.981011950165497,-168.15259711165046,180.0,-179.97433715805542,179.81086341046034,-31.62751796156163,193.8887939453125,248.07161617735358,5.841485667919617,1.5874197025045216,4946.875,19681.142578125
pu120_R12000,120,12000,True,500,ok,A,B,58.0702456843904,33.340320302583265,121.25563586535493,238.38891561105427,3.640232756445294,8.825031756699428,5.459961803998287,10.24538655101403,4.446533554106012,6.844125055767128,17.911660222275767,69.52298126609608,160.78699973679204,0.09990689328271579,0.2091786255489801,6.610642760919595,-22.839903282617932,9.237841951499647,1.559464684706104,-7.048851272988363,15.981011950165497,-168.15259711165046,180.0,-179.7722865020281,179.97663210161656,0.9297096294347302,193.8887939453125,249.15971591186525,5.841485667919617,1.5054039349031405,4946.875,22651.884765625
pu135_R12000,135,12000,True,559,ok,A,B,59.212514641407346,36.611743789501276,120.0688823077844,244.73439555140789,3.7060435955852684,6.921726182054519,5.042837109422967,7.53253210548675,4.305393468830926,6.402385120033778,16.205541260905736,60.38195797790285,162.3819971056396,0.09487516734395285,0.1969270120802885,6.172103827025095,-22.839903282617932,9.30440043741413,1.1598045797872238,-7.0798500865364655,15.981011950165497,-168.15259711165046,180.0,-179.99388515946,179.90563911538345,-22.773579784400525,193.8887939453125,250.16763229233635,5.841485667919617,1.4244080778237167,4946.875,25083.15234375
pu150_R12000,150,12000,True,620,ok,A,B,71.60567387070684,40.68385833756449,181.18853489645016,326.21519487291624,3.7123121759849687,6.648711490512294,5.078228344600729,8.840124635838846,4.538561044427094,6.4513616724612675,15.040157598682486,49.2353350148125,163.82335017142307,0.09196140149971656,0.19065681423019742,5.804108740656451,-22.839903282617932,10.687409583956867,0.47833471160908014,-6.707080986638795,17.521397192921793,-168.15259711165046,180.0,-179.97481527129733,179.9786265168542,-31.7864882520217,193.8887939453125,250.7999603025375,5.841485667919617,1.3455116075207545,4946.875,27012.931640625
pu180_R15000,180,15000,False,2000,crash,Fail,Fail,6101.138931279177,2172.086610640664,19515.61448409983,23944.086897986046,63.876481561036805,140.64076451090386,62.58100162621373,131.71866589826413,18.889421609414832,34.83256139718654,77.46421759470697,162.75555291337213,129.64590523233852,0.8930603407865283,2.780985182321146,29.386044325895003,-42.08461696728918,24.166356755285676,-14.228228132872164,-23.0034726528614,22.4993722487159,-168.15259711165046,180.0,-179.99980010328125,179.95638742091663,-25.215399347937183,193.8887939453125,303.2689458999634,7.820024872821474,1.4080335608985441,4946.875,34469.24609375
pu180_R12000,180,12000,False,2000,crash,Fail,Fail,11361.524988549572,5340.328679148551,39274.88761246202,50388.058510762196,58.470481557114155,127.01934568556284,58.05833160988754,112.5542697155048,19.32847114768478,35.407641436375975,74.8048655023504,137.60877211123477,130.17169482325383,1.1973400251902782,2.908222941424946,36.52425907938563,-44.11926884933345,9.54694301616222,-15.686129785893728,-14.2143946203991,22.553241950699793,-168.15259711165046,180.0,-179.97235640319613,179.9875330835319,-63.46390980427855,193.8887939453125,348.14572026824953,8.473360729068618,1.6368469302183122,4946.875,37297.93359375
